"Filename","Score","Grade","Issues","Fractions","Units","Lines","Punctuation"
"20250521_132100(1).txt","100","A+","Perfect","2","8","32","8"
"20250529_132150.txt","100","A+","Perfect","5","7","37","13"
"20250529_132425.txt","100","A+","Perfect","4","7","25","7"
"20250603_113954.txt","100","A+","Perfect","0","6","14","5"
"20250610_205336.txt","100","A+","Perfect","0","3","28","10"
"20250521_134044.txt","99","A+","Corrupted","0","6","28","9"
"20250529_132326.txt","99","A+","Corrupted","2","3","25","7"
"20250603_122124.txt","99","A+","Corrupted","2","7","17","10"
"20250612_013437.txt","99","A+","Corrupted","2","11","24","11"
"20250612_014516.txt","99","A+","Corrupted","0","10","30","14"
"20250612_015153.txt","99","A+","Corrupted","0","4","31","10"
"20250612_022122.txt","99","A+","Corrupted","5","6","14","10"
"20250612_132830.txt","99","A+","Corrupted","0","6","22","17"
"20250519_220402(1).txt","98","A+","Corrupted","3","4","15","12"
"20250528_154705.txt","98","A+","Corrupted","12","31","47","32"
"20250603_115640.txt","98","A+","Corrupted","0","4","26","20"
"20250611_001759.txt","98","A+","Corrupted","0","2","35","16"
"20250612_134205.txt","98","A+","Corrupted","0","3","22","11"
"20250521_182705.txt","97","A+","Corrupted","5","10","14","12"
"20250528_161702.txt","97","A+","Corrupted","9","12","37","37"
"20250529_210227(1).txt","97","A+","Corrupted","0","2","15","11"
"20250610_233649.txt","97","A+","Corrupted","0","3","39","17"
"20250519_220402.txt","96","A+","Corrupted","6","6","20","20"
"20250521_182723.txt","96","A+","Corrupted","5","9","14","12"
"20250528_151447.txt","96","A+","Corrupted","8","16","29","21"
"20250528_153945.txt","96","A+","Corrupted","0","2","34","11"
"20250521_132110(1).txt","95","A+","MinimalFractions","1","6","26","11"
"20250528_152434.txt","95","A+","Corrupted","6","9","28","26"
"20250528_153011.txt","95","A+","Corrupted","11","20","45","40"
"20250529_132242.txt","95","A+","MinimalFractions","1","2","22","9"
"20250603_113008.txt","95","A+","MinimalCookingTerms","3","4","9","6"
"20250611_005058.txt","95","A+","MinimalFractions","1","10","21","15"
"20250612_013812.txt","95","A+","MinimalCookingTerms","0","4","11","3"
"20250612_133539.txt","95","A+","MinimalCookingTerms","0","4","41","20"
"20250528_161236.txt","94","A","Corrupted","11","21","46","46"
"20250603_135459.txt","94","A","Corrupted","0","6","32","23"
"20250610_183123.txt","94","A","Corrupted|MinimalFractions","1","9","40","14"
"20250612_123105.txt","94","A","Corrupted|MinimalCookingTerms","0","2","30","14"
"20250528_151336.txt","93","A","Corrupted","7","12","33","35"
"20250528_152328.txt","93","A","Corrupted","12","16","43","48"
"20250528_161209.txt","93","A","Corrupted","16","17","39","56"
"20250528_161750.txt","93","A","Corrupted","8","14","38","50"
